,Aircraft,Type of Traveller,Seat Type,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended,Date of Post,Overall Rating (/10)
1000,Boeing 787-900,Family Leisure,Economy Class,July 2019,3,5,3,4,4,,4,Yes,2nd August 2019,7
1001,,Solo Leisure,Economy Class,July 2019,,,,,1,,1,No,2nd August 2019,3
1002,,Business,Economy Class,July 2019,1,1,,,1,,1,No,2nd August 2019,2
1003,Boeing 777,Couple Leisure,Economy Class,July 2019,3,1,1,1,3,,3,No,31st July 2019,2
1004,,Solo Leisure,Economy Class,July 2019,1,1,1,1,1,2,4,No,31st July 2019,1
1005,Boeing 777-300ER,Couple Leisure,Business Class,July 2019,5,5,5,5,4,,5,Yes,29th July 2019,10
1006,,Family Leisure,Economy Class,July 2019,2,2,,,2,,1,No,28th July 2019,1
1007,,Solo Leisure,Economy Class,July 2019,1,4,3,3,1,,1,No,27th July 2019,1
1008,A320,Business,Business Class,July 2019,2,3,3,,1,,1,No,26th July 2019,2
1009,Boeing 777-300,Couple Leisure,Economy Class,July 2019,4,4,4,4,4,4,4,Yes,23rd July 2019,10
1010,,Couple Leisure,Economy Class,July 2019,1,1,,,1,,1,No,23rd July 2019,1
1011,,Couple Leisure,Economy Class,July 2019,1,1,,,1,,1,No,21st July 2019,1
1012,A330-300,Family Leisure,Economy Class,July 2019,1,3,2,1,1,,1,No,19th July 2019,1
1013,,Family Leisure,Economy Class,July 2019,1,1,,,1,,1,No,16th July 2019,1
1014,Boeing 777,Family Leisure,Business Class,July 2019,5,5,5,5,5,,5,Yes,15th July 2019,10
1015,Boeing 777-300ER,Solo Leisure,Premium Economy,July 2019,5,5,5,5,5,5,5,Yes,14th July 2019,10
1016,Boeing 787-9,Family Leisure,Economy Class,July 2019,2,5,3,3,1,,1,No,13th July 2019,1
1017,,Business,Business Class,July 2019,1,1,,,1,,1,No,12th July 2019,1
1018,ERJ 175,Solo Leisure,Economy Class,June 2019,3,5,5,4,2,,3,Yes,9th July 2019,9
1019,,Business,Economy Class,June 2019,3,1,3,4,1,4,1,No,9th July 2019,1
1020,AC481,Couple Leisure,Economy Class,May 2019,5,5,5,5,1,5,1,No,8th July 2019,1
1021,,Solo Leisure,Economy Class,June 2019,2,3,2,2,2,,2,No,7th July 2019,3
1022,,Family Leisure,Economy Class,July 2019,2,2,,,1,,1,No,7th July 2019,1
1023,,Couple Leisure,Premium Economy,June 2019,1,1,,,1,,1,No,6th July 2019,1
1024,,Solo Leisure,Economy Class,June 2019,1,1,1,1,1,1,1,No,6th July 2019,1
1025,,Business,Economy Class,June 2019,1,3,,,1,,1,No,1st July 2019,1
1026,Boeing 777-300,Business,Business Class,July 2019,1,1,,,1,,1,No,1st July 2019,1
1027,,Family Leisure,Economy Class,June 2019,1,1,1,1,1,1,1,No,1st July 2019,1
1028,,Family Leisure,Economy Class,June 2019,1,1,1,1,1,1,1,No,30th June 2019,1
1029,,Family Leisure,Economy Class,June 2019,,,,,,,1,No,30th June 2019,1
1030,,Couple Leisure,Economy Class,June 2019,1,1,1,1,1,1,1,No,28th June 2019,1
1031,,Couple Leisure,Economy Class,June 2019,3,1,1,,1,,1,No,24th June 2019,2
1032,,Solo Leisure,Economy Class,June 2019,1,4,1,,1,,1,No,23rd June 2019,2
1033,Boeing 787-9,Solo Leisure,Business Class,May 2019,5,5,5,5,5,5,5,Yes,23rd June 2019,10
1034,Boeing 787,Family Leisure,Business Class,June 2019,1,1,,,1,,1,No,23rd June 2019,1
1035,,Solo Leisure,Economy Class,June 2019,5,5,5,5,4,,5,Yes,21st June 2019,9
1036,"A330, CRJ",Business,Business Class,June 2019,4,5,5,,4,,4,Yes,20th June 2019,7
1037,Boeing 787-9,Solo Leisure,Economy Class,April 2019,4,4,4,2,4,1,4,No,17th June 2019,6
1038,,Family Leisure,Economy Class,June 2019,2,1,2,4,2,,2,No,10th June 2019,2
1039,Boeing 789,Family Leisure,Economy Class,June 2019,1,1,1,1,1,,1,No,9th June 2019,1
1040,Boeing 787-9,Solo Leisure,Business Class,May 2019,3,3,1,3,3,,2,No,5th June 2019,3
1041,,Solo Leisure,Economy Class,May 2019,1,3,1,3,1,,2,No,29th May 2019,2
1042,Boeing 787,Solo Leisure,Business Class,May 2019,3,5,,4,5,,5,Yes,29th May 2019,10
1043,Boeing 777-300ER,Solo Leisure,Economy Class,August 2018,4,5,4,5,5,2,4,Yes,28th May 2019,9
1044,Boeing 777-300,Couple Leisure,Economy Class,April 2019,1,2,3,4,3,,2,No,27th May 2019,2
1045,A320,Business,Economy Class,May 2019,2,3,1,2,3,,2,No,26th May 2019,4
1046,,Couple Leisure,Economy Class,May 2019,,,,,1,,2,No,22nd May 2019,1
1047,Boeing 777,Family Leisure,Economy Class,May 2019,4,4,,3,2,,3,No,22nd May 2019,4
1048,Boeing 787-9,Solo Leisure,Business Class,May 2019,5,5,5,4,5,1,5,Yes,22nd May 2019,10
1049,,Solo Leisure,Economy Class,May 2019,3,4,2,3,1,3,1,No,20th May 2019,1
1050,Boeing 777-300ER,Solo Leisure,Premium Economy,May 2019,4,5,4,4,4,4,5,Yes,16th May 2019,10
1051,,Solo Leisure,Economy Class,April 2019,4,4,3,4,4,,4,Yes,15th May 2019,8
1052,,Business,Economy Class,May 2019,2,1,1,1,1,,1,No,15th May 2019,3
1053,Boeing 777-300,Solo Leisure,Economy Class,April 2019,1,1,1,,2,1,3,No,14th May 2019,1
1054,Boeing 787-9,Solo Leisure,Economy Class,May 2019,4,5,3,3,4,,4,Yes,13th May 2019,7
1055,A321,Couple Leisure,Business Class,May 2019,1,3,,,2,,1,No,13th May 2019,1
1056,Boeing 767,Solo Leisure,Economy Class,May 2019,3,3,3,3,3,,3,No,12th May 2019,3
1057,,Business,Economy Class,May 2019,1,2,,,2,,1,No,6th May 2019,2
1058,,Solo Leisure,Economy Class,April 2019,3,5,5,5,4,5,3,Yes,5th May 2019,9
1059,Boeing 787,Family Leisure,Business Class,April 2019,5,4,4,4,5,,5,Yes,2nd May 2019,9
1060,,Family Leisure,Economy Class,April 2019,2,2,1,4,1,1,1,No,30th April 2019,1
1061,Boeing 787,Solo Leisure,Business Class,April 2019,5,5,5,5,5,,5,Yes,30th April 2019,10
1062,,Business,Economy Class,April 2019,1,2,1,,2,,2,No,24th April 2019,2
1063,,Family Leisure,Economy Class,April 2019,4,3,3,3,1,1,3,No,24th April 2019,1
1064,,Family Leisure,Economy Class,April 2019,,,,,1,,1,No,23rd April 2019,1
1065,,Couple Leisure,Economy Class,April 2019,1,3,2,,1,,2,No,19th April 2019,1
1066,,Solo Leisure,Economy Class,March 2019,3,2,2,4,3,,1,No,18th April 2019,3
1067,,Solo Leisure,Economy Class,April 2019,5,4,5,,1,,5,No,18th April 2019,4
1068,Boeing 777,Business,Economy Class,April 2019,1,3,,,1,,1,No,12th April 2019,1
1069,,Business,Economy Class,April 2019,1,2,,,2,,1,No,8th April 2019,1
1070,,Business,Economy Class,March 2019,4,4,,4,1,,1,No,5th April 2019,1
1071,Boeing 777-300ER,Business,Economy Class,April 2019,2,1,1,3,1,2,2,No,3rd April 2019,1
1072,,Couple Leisure,Business Class,February 2019,2,2,2,,1,,1,No,28th March 2019,1
1073,,Family Leisure,Economy Class,March 2019,1,,,,1,,1,No,27th March 2019,1
1074,,Family Leisure,Economy Class,March 2019,1,1,1,2,1,1,1,No,26th March 2019,1
1075,,Couple Leisure,Economy Class,February 2019,4,5,,5,5,,5,Yes,25th March 2019,8
1076,,Couple Leisure,Economy Class,March 2019,1,1,1,,1,,1,No,25th March 2019,1
1077,Boeing 787-9,Couple Leisure,Economy Class,March 2019,4,1,1,3,4,,4,No,25th March 2019,5
1078,Boeing 777-200LR,Family Leisure,Economy Class,March 2019,1,3,1,3,3,,1,No,23rd March 2019,1
1079,,Family Leisure,Economy Class,March 2019,4,4,,,5,,4,Yes,23rd March 2019,10
1080,,Solo Leisure,Economy Class,November 2018,,,,,,,1,No,22nd March 2019,1
1081,,Solo Leisure,Economy Class,March 2019,5,5,,,5,,5,Yes,19th March 2019,10
1082,A320-200,Solo Leisure,Economy Class,March 2019,3,3,3,4,5,4,5,Yes,18th March 2019,7
1083,,Family Leisure,Economy Class,March 2019,1,1,,,1,,1,No,18th March 2019,1
1084,,Business,Economy Class,March 2019,3,1,3,3,1,1,2,No,17th March 2019,1
1085,,Couple Leisure,Economy Class,March 2019,1,4,,,1,,1,No,15th March 2019,1
1086,,Solo Leisure,Economy Class,March 2019,5,5,5,,5,,5,Yes,13th March 2019,10
1087,,Business,Economy Class,March 2019,1,3,4,4,1,,1,No,13th March 2019,2
1088,Boeing 787-9,Solo Leisure,Economy Class,March 2019,1,3,2,3,3,,2,No,10th March 2019,2
1089,,Family Leisure,Economy Class,March 2019,1,3,2,,3,,4,Yes,9th March 2019,5
1090,,Couple Leisure,Economy Class,February 2019,1,1,,,1,,2,No,7th March 2019,2
1091,,Couple Leisure,Economy Class,March 2019,2,4,3,2,2,2,2,No,6th March 2019,2
1092,,Solo Leisure,Economy Class,February 2019,2,1,1,1,1,,1,No,5th March 2019,1
1093,,Couple Leisure,Economy Class,March 2019,2,1,,,3,,2,No,4th March 2019,1
1094,Boeing 777,Solo Leisure,Premium Economy,February 2019,4,4,5,3,4,,4,Yes,3rd March 2019,9
1095,787,Solo Leisure,Economy Class,February 2019,5,5,3,2,5,,4,Yes,27th February 2019,9
1096,E190,Solo Leisure,Economy Class,February 2019,4,4,3,4,5,,4,Yes,26th February 2019,8
1097,,Family Leisure,Economy Class,February 2019,3,1,1,3,2,,2,No,24th February 2019,2
1098,Boeing 787,Family Leisure,Economy Class,February 2019,4,4,2,5,5,,4,No,21st February 2019,3
1099,,Solo Leisure,Economy Class,February 2019,3,4,1,3,3,2,1,No,20th February 2019,1
1100,,Solo Leisure,Economy Class,February 2019,3,1,,,1,,1,No,19th February 2019,1
1101,Boeing 737max,Couple Leisure,Economy Class,February 2019,1,4,2,3,1,3,2,No,19th February 2019,4
1102,Boeing 787,Business,Business Class,February 2019,5,5,5,5,5,5,5,Yes,18th February 2019,10
1103,,Solo Leisure,Economy Class,February 2019,,,,,1,,1,No,15th February 2019,1
1104,CRJ100/200,Family Leisure,Economy Class,February 2019,2,3,1,1,1,,2,No,12th February 2019,1
1105,A320,Solo Leisure,Economy Class,February 2019,2,2,,,1,,1,No,12th February 2019,1
1106,Boeing 777,Family Leisure,Economy Class,January 2019,4,5,4,5,4,5,5,Yes,7th February 2019,9
1107,,Solo Leisure,Economy Class,February 2019,2,3,1,3,1,4,2,No,5th February 2019,1
1108,,Couple Leisure,Economy Class,February 2019,1,1,,,1,,1,No,5th February 2019,1
1109,A321-200,Couple Leisure,Economy Class,February 2019,1,1,1,,1,,1,No,4th February 2019,1
1110,,Couple Leisure,Economy Class,February 2019,1,1,1,1,1,1,1,No,3rd February 2019,1
1111,A320-200,Couple Leisure,Business Class,January 2019,2,2,,,1,,1,No,29th January 2019,1
1112,,Business,Economy Class,January 2019,1,1,,,1,,1,No,28th January 2019,1
